clip_id,fsid,cls,split,source,duration_sec,note
100265,100265,background,test,FSD50K,22.44,hard_neg:alarm
100647,100647,background,test,FSD50K,19.435,hard_neg:alarm
100904,100904,background,test,FSD50K,15.771,hard_neg:scream_crowd
101246,101246,background,test,FSD50K,9.264,hard_neg:glass_dishes
101354,101354,background,test,FSD50K,20.815,hard_neg:alarm
101355,101355,background,test,FSD50K,5.786,hard_neg:alarm
101744,101744,background,test,FSD50K,11.401,hard_neg:scream_crowd
101746,101746,background,test,FSD50K,16.237,hard_neg:alarm
101851,101851,background,test,FSD50K,15.871,hard_neg:alarm
1032,1032,background,test,FSD50K,2.291,hard_neg:alarm
104420,104420,background,test,FSD50K,22.13,hard_neg:alarm
104803,104803,background,test,FSD50K,3.88,hard_neg:alarm
105117,105117,background,test,FSD50K,20.505,hard_neg:alarm
105223,105223,background,test,FSD50K,9.804,hard_neg:scream_crowd
105277,105277,background,test,FSD50K,16.324,hard_neg:scream_crowd
105385,105385,background,test,FSD50K,4.081,hard_neg:glass_dishes
106270,106270,background,test,FSD50K,13.161,hard_neg:alarm
108011,108011,background,test,FSD50K,6.0,hard_neg:alarm
108536,108536,background,test,FSD50K,14.004,hard_neg:alarm
109214,109214,background,test,FSD50K,0.828,hard_neg:alarm
109216,109216,background,test,FSD50K,0.641,hard_neg:alarm
109217,109217,background,test,FSD50K,0.808,hard_neg:alarm
109483,109483,background,test,FSD50K,5.672,hard_neg:alarm
110106,110106,background,test,FSD50K,9.516,hard_neg:alarm
112860,112860,background,test,FSD50K,3.0,hard_neg:alarm
115073,115073,background,test,FSD50K,9.222,hard_neg:alarm
115074,115074,background,test,FSD50K,8.621,hard_neg:alarm
115088,115088,background,test,FSD50K,24.085,hard_neg:alarm
115869,115869,background,test,FSD50K,10.983,hard_neg:alarm
116390,116390,background,test,FSD50K,6.83,hard_neg:alarm
117041,117041,background,test,FSD50K,10.892,hard_neg:alarm
117126,117126,background,test,FSD50K,24.015,hard_neg:alarm
117518,117518,background,test,FSD50K,18.733,hard_neg:alarm
117642,117642,background,test,FSD50K,3.587,hard_neg:alarm
117883,117883,background,test,FSD50K,14.19,hard_neg:alarm
118040,118040,background,test,FSD50K,27.757,hard_neg:alarm
118070,118070,background,test,FSD50K,2.347,hard_neg:alarm
118078,118078,background,test,FSD50K,10.198,hard_neg:alarm
118080,118080,background,test,FSD50K,3.798,hard_neg:alarm
118107,118107,background,test,FSD50K,14.77,hard_neg:alarm
118116,118116,background,test,FSD50K,8.474,hard_neg:scream_crowd
118229,118229,background,test,FSD50K,0.308,hard_neg:alarm
118234,118234,background,test,FSD50K,29.923,hard_neg:alarm
118796,118796,background,test,FSD50K,1.558,hard_neg:glass_dishes
118799,118799,background,test,FSD50K,1.774,hard_neg:glass_dishes
118807,118807,background,test,FSD50K,8.167,hard_neg:alarm
119024,119024,background,test,FSD50K,26.619,hard_neg:scream_crowd
119025,119025,background,test,FSD50K,10.05,hard_neg:scream_crowd
119030,119030,background,test,FSD50K,11.066,hard_neg:scream_crowd
119523,119523,background,test,FSD50K,4.405,hard_neg:alarm
119555,119555,background,test,FSD50K,23.858,hard_neg:alarm
119839,119839,background,test,FSD50K,12.122,hard_neg:glass_dishes
119844,119844,background,test,FSD50K,6.688,hard_neg:glass_dishes
119849,119849,background,test,FSD50K,6.87,hard_neg:alarm
119958,119958,background,test,FSD50K,14.997,hard_neg:alarm
120010,120010,background,test,FSD50K,7.119,hard_neg:alarm
120028,120028,background,test,FSD50K,3.735,hard_neg:glass_dishes
120229,120229,background,test,FSD50K,8.797,hard_neg:alarm
120493,120493,background,test,FSD50K,10.934,hard_neg:alarm
120501,120501,background,test,FSD50K,14.067,hard_neg:alarm
120530,120530,background,test,FSD50K,1.283,hard_neg:alarm
120557,120557,background,test,FSD50K,5.495,hard_neg:alarm
120832,120832,background,test,FSD50K,10.147,hard_neg:alarm
121346,121346,background,test,FSD50K,16.73,hard_neg:alarm
122814,122814,background,test,FSD50K,12.618,hard_neg:glass_dishes
123305,123305,background,test,FSD50K,1.533,hard_neg:alarm
123306,123306,background,test,FSD50K,4.598,hard_neg:alarm
123307,123307,background,test,FSD50K,4.644,hard_neg:alarm
123308,123308,background,test,FSD50K,4.621,hard_neg:alarm
123349,123349,background,test,FSD50K,5.297,hard_neg:alarm
124287,124287,background,test,FSD50K,24.823,hard_neg:glass_dishes
124501,124501,background,test,FSD50K,3.804,hard_neg:alarm
124502,124502,background,test,FSD50K,4.786,hard_neg:alarm
125126,125126,background,test,FSD50K,4.972,hard_neg:alarm
127857,127857,background,test,FSD50K,10.635,hard_neg:alarm
128013,128013,background,test,FSD50K,21.755,hard_neg:alarm
129657,129657,background,test,FSD50K,6.267,hard_neg:alarm
131202,131202,background,test,FSD50K,1.0,hard_neg:glass_dishes
131560,131560,background,test,FSD50K,10.69,hard_neg:alarm
131641,131641,background,test,FSD50K,18.075,hard_neg:alarm
131642,131642,background,test,FSD50K,10.634,hard_neg:alarm
131643,131643,background,test,FSD50K,10.985,hard_neg:alarm
131989,131989,background,test,FSD50K,23.168,hard_neg:alarm
132602,132602,background,test,FSD50K,17.981,hard_neg:alarm
132742,132742,background,test,FSD50K,8.354,hard_neg:alarm
134688,134688,background,test,FSD50K,5.005,hard_neg:alarm
134848,134848,background,test,FSD50K,16.649,hard_neg:glass_dishes
136469,136469,background,test,FSD50K,5.852,hard_neg:glass_dishes
136522,136522,background,test,FSD50K,24.01,hard_neg:alarm
136642,136642,background,test,FSD50K,0.626,hard_neg:alarm
137134,137134,background,test,FSD50K,7.2,hard_neg:alarm
13727,13727,background,test,FSD50K,4.808,hard_neg:alarm
137734,137734,background,test,FSD50K,15.133,hard_neg:alarm
137886,137886,background,test,FSD50K,22.968,hard_neg:alarm
138037,138037,background,test,FSD50K,0.592,hard_neg:alarm
138961,138961,background,test,FSD50K,11.808,hard_neg:glass_dishes
139768,139768,background,test,FSD50K,18.168,hard_neg:glass_dishes
141308,141308,background,test,FSD50K,24.635,hard_neg:alarm
141309,141309,background,test,FSD50K,4.398,hard_neg:alarm
142328,142328,background,test,FSD50K,4.996,hard_neg:glass_dishes
144137,144137,background,test,FSD50K,2.378,hard_neg:alarm
144175,144175,background,test,FSD50K,5.562,hard_neg:glass_dishes
144187,144187,background,test,FSD50K,0.326,hard_neg:glass_dishes
144883,144883,background,test,FSD50K,15.871,hard_neg:alarm
145441,145441,background,test,FSD50K,1.176,hard_neg:glass_dishes
14575,14575,background,test,FSD50K,27.673,hard_neg:alarm
14576,14576,background,test,FSD50K,23.884,hard_neg:alarm
14577,14577,background,test,FSD50K,3.883,hard_neg:alarm
146432,146432,background,test,FSD50K,7.357,hard_neg:scream_crowd
146926,146926,background,test,FSD50K,12.826,hard_neg:baby_cry
151150,151150,background,test,FSD50K,26.568,hard_neg:alarm
152595,152595,background,test,FSD50K,1.021,hard_neg:alarm
152953,152953,background,test,FSD50K,4.12,hard_neg:alarm
153054,153054,background,test,FSD50K,3.039,hard_neg:alarm
153057,153057,background,test,FSD50K,1.83,hard_neg:alarm
153170,153170,background,test,FSD50K,7.605,hard_neg:alarm
154387,154387,background,test,FSD50K,11.002,hard_neg:alarm
154402,154402,background,test,FSD50K,10.366,hard_neg:alarm
154770,154770,background,test,FSD50K,26.198,hard_neg:alarm
154834,154834,background,test,FSD50K,6.006,hard_neg:baby_cry
155639,155639,background,test,FSD50K,19.374,hard_neg:alarm
155717,155717,background,test,FSD50K,7.95,hard_neg:alarm
156064,156064,background,test,FSD50K,0.553,hard_neg:alarm
156091,156091,background,test,FSD50K,2.97,hard_neg:alarm
156098,156098,background,test,FSD50K,1.707,hard_neg:baby_cry
156100,156100,background,test,FSD50K,2.324,hard_neg:alarm
157580,157580,background,test,FSD50K,16.461,hard_neg:alarm
162851,162851,background,test,FSD50K,4.416,hard_neg:alarm
163419,163419,background,test,FSD50K,23.734,hard_neg:glass_dishes
164031,164031,background,test,FSD50K,2.246,hard_neg:alarm
164032,164032,background,test,FSD50K,3.167,hard_neg:alarm
164033,164033,background,test,FSD50K,3.186,hard_neg:alarm
164036,164036,background,test,FSD50K,18.771,hard_neg:alarm
165748,165748,background,test,FSD50K,22.642,hard_neg:scream_crowd
166433,166433,background,test,FSD50K,16.832,hard_neg:scream_crowd
166434,166434,background,test,FSD50K,14.697,hard_neg:scream_crowd
166436,166436,background,test,FSD50K,8.124,hard_neg:scream_crowd
166441,166441,background,test,FSD50K,16.51,hard_neg:alarm
167194,167194,background,test,FSD50K,24.635,hard_neg:alarm
16774,16774,background,test,FSD50K,1.415,hard_neg:alarm
168028,168028,background,test,FSD50K,5.014,hard_neg:alarm
168029,168029,background,test,FSD50K,6.501,hard_neg:alarm
168822,168822,background,test,FSD50K,0.391,hard_neg:glass_dishes
168825,168825,background,test,FSD50K,3.085,hard_neg:alarm
170455,170455,background,test,FSD50K,2.0,hard_neg:alarm
170464,170464,background,test,FSD50K,5.745,hard_neg:alarm
170847,170847,background,test,FSD50K,9.874,hard_neg:alarm
170848,170848,background,test,FSD50K,4.858,hard_neg:alarm
170876,170876,background,test,FSD50K,2.639,hard_neg:alarm
170877,170877,background,test,FSD50K,2.639,hard_neg:alarm
170880,170880,background,test,FSD50K,2.639,hard_neg:alarm
170881,170881,background,test,FSD50K,2.639,hard_neg:alarm
17093,17093,background,test,FSD50K,10.128,hard_neg:scream_crowd
17118,17118,background,test,FSD50K,23.723,hard_neg:glass_dishes
17124,17124,background,test,FSD50K,0.655,hard_neg:alarm
171324,171324,background,test,FSD50K,13.378,hard_neg:alarm
171511,171511,background,test,FSD50K,8.378,hard_neg:alarm
171674,171674,background,test,FSD50K,7.156,hard_neg:alarm
171679,171679,background,test,FSD50K,3.038,hard_neg:alarm
172364,172364,background,test,FSD50K,26.166,hard_neg:glass_dishes
172738,172738,background,test,FSD50K,26.541,hard_neg:baby_cry
173946,173946,background,test,FSD50K,28.778,hard_neg:glass_dishes
17468,17468,background,test,FSD50K,1.671,hard_neg:alarm
175081,175081,background,test,FSD50K,4.125,hard_neg:alarm
176003,176003,background,test,FSD50K,1.276,hard_neg:alarm
178377,178377,background,test,FSD50K,3.714,hard_neg:alarm
178398,178398,background,test,FSD50K,12.307,hard_neg:glass_dishes
178898,178898,background,test,FSD50K,13.709,hard_neg:alarm
17895,17895,background,test,FSD50K,3.971,hard_neg:alarm
179113,179113,background,test,FSD50K,13.04,hard_neg:alarm
180174,180174,background,test,FSD50K,23.969,hard_neg:alarm
180180,180180,background,test,FSD50K,18.707,hard_neg:baby_cry
180339,180339,background,test,FSD50K,20.598,hard_neg:alarm
